Unique ID,Title,Source,Owner,Status,Category,Proposed URL
1,What's a Ghost Town,http://en.wikipedia.org/wiki/Ghost_town,Aly,Needsto be writen,Intro/Basics,É/index.html
2,Pripyat,http://en.wikipedia.org/wiki/Pripyat,Aly,Done,Russia,É/russia/pripyat.html
3,Chernobyl,http://en.wikipedia.org/wiki/Chernobyl_(city),Aly,Needs Editing,Russia,É/russia/chernobyl.html
4,Hashima Island,http://en.wikipedia.org/wiki/Hashima_Island,Aly,Done,Japan,É/japan/hashima.html
5,Reasons for Ghost Towns,http://en.wikipedia.org/wiki/Ghost_town,Aly,Needs to be written,Intro/Basics,É/reasons.html
6,Kolmanskop,http://en.wikipedia.org/wiki/Kolmanskop,Aly,Done,Russia,É/russia/kolmanskop.html
7,Craco,http://en.wikipedia.org/wiki/Craco,Aly,Done,Italy,É/italy/craco.html
8,Oradour sur Glane,http://en.wikipedia.org/wiki/Oradour-sur-Glane,Aly,Needs editing,France,É/france/oradour.html
9,Kadykchan,http://en.wikipedia.org/wiki/Kadykchan,Aly,Done,Russia,É/russia/kadykchan.html
10,Kowloon,http://en.wikipedia.org/wiki/Kowloon_walled_city,Aly,Done,China,É/china/kowloon.html
11,Agdam,http://en.wikipedia.org/wiki/Agdam,Aly,Done,Middle East,É/middleeast-azerbaijan/agdam.html
12,Centralia,"http://en.wikipedia.org/wiki/Centralia,_Pennsylvania",Aly,Needs Editing,USA,É/usa/centralia.html
13,Centralia mine fire,http://en.wikipedia.org/wiki/Centralia_mine_fire,Aly,Needs Editing,USA,É/usa/centralia.html
14,Tomioka Fukushima,"http://en.wikipedia.org/wiki/Tomioka,_Fukushima",Aly,Needs Editing,Japan,É/japan/fukushima.html
15,Epecuen ,http://en.wikipedia.org/wiki/Villa_Epecu%C3%A9n,Aly,Done,Argentina,É/argentina/epecuen.html
16,Chernobyl disaster,http://en.wikipedia.org/wiki/Chernobyl_disaster,Aly,Done,Russia,É/russia/chernobyl.html
17,The Lost Villages of Ontario,http://en.wikipedia.org/wiki/The_Lost_Villages,aly,done,Canada,É/canada/lostvillages.html
18,Mologa,http://en.wikipedia.org/wiki/Mologa,aly,done,Russia,É/russia/mologa.html
19,U.S._Route_66,http://en.wikipedia.org/wiki/U.S._Route_66,aly,done,USA,É/usa/route66.html
20,Ctesiphon,http://en.wikipedia.org/wiki/Ctesiphon,aly,done,Middle East,É/
21,lidice,http://en.wikipedia.org/wiki/Lidice,aly,done,Czech,É/czech/lidice.html
22,times beach missourri,"http://en.wikipedia.org/wiki/Times_Beach,_Missouri",aly,done,USA,É/usa/timesbeach.html
23,deception island,http://en.wikipedia.org/wiki/Deception_Island,aly,done,Antarctica,É/antarctic/deception.html
24,wittenoom,"http://en.wikipedia.org/wiki/Wittenoom,_Western_Australia",aly,done,Australia,É/australia/wittenoom.html
