Unique ID,Title,Source,Owner,Status,Category,Proposed URL
1,What's a Ghost Town,http://en.wikipedia.org/wiki/Ghost_town,Aly,Needsto be writen,Intro/Basics,
2,Pripyat,http://en.wikipedia.org/wiki/Pripyat,Aly,Done,Russia,
3,Chernobyl,http://en.wikipedia.org/wiki/Chernobyl_(city),Aly,Needs Editing,Russia,
4,Hashima Island,http://en.wikipedia.org/wiki/Hashima_Island,Aly,Done,Japan/Asia,
5,Reasons for Ghost Towns,http://en.wikipedia.org/wiki/Ghost_town,Aly,Needs to be written,Intro/Basics,
6,Kolmanskop,http://en.wikipedia.org/wiki/Kolmanskop,Aly,Done,Russia,
7,Craco,http://en.wikipedia.org/wiki/Craco,Aly,Done,EU,
8,Oradour sur Glane,http://en.wikipedia.org/wiki/Oradour-sur-Glane,Aly,Needs editing,EU,
9,Kadykchan,http://en.wikipedia.org/wiki/Kadykchan,Aly,Done,Russia,
10,Kowloon,http://en.wikipedia.org/wiki/Kowloon_walled_city,Aly,Done,China,
11,Agdam,http://en.wikipedia.org/wiki/Agdam,Aly,Done,Middle East,
12,Centralia,"http://en.wikipedia.org/wiki/Centralia,_Pennsylvania",Aly,Needs Editing,USA/North America,
13,Centralia mine fire,http://en.wikipedia.org/wiki/Centralia_mine_fire,Aly,Needs Editing,USA/North America,
14,Tomioka Fukushima,"http://en.wikipedia.org/wiki/Tomioka,_Fukushima",Aly,Needs Editing,Japan,
15,Epecuen ,http://en.wikipedia.org/wiki/Villa_Epecu%C3%A9n,Aly,Done,EU,
16,Chernobyl disaster,http://en.wikipedia.org/wiki/Chernobyl_disaster,Aly,Done,Russia,
17,The Lost Villages of Ontario,http://en.wikipedia.org/wiki/The_Lost_Villages,aly,done,North America,
18,Mologa,http://en.wikipedia.org/wiki/Mologa,aly,done,Russia,
19,U.S._Route_66,http://en.wikipedia.org/wiki/U.S._Route_66,aly,done,North America,
20,Ctesiphon,http://en.wikipedia.org/wiki/Ctesiphon,aly,done,Middle East,
21,lidice,http://en.wikipedia.org/wiki/Lidice,aly,done,Czech,
22,times beach missourri,"http://en.wikipedia.org/wiki/Times_Beach,_Missouri",aly,done,North America,
23,deception island,http://en.wikipedia.org/wiki/Deception_Island,aly,done,Antarctica,
24,wittenoom,"http://en.wikipedia.org/wiki/Wittenoom,_Western_Australia",aly,done,Australia,
